row.names,pathways
1367470_at,no
1367471_at,no
1398889_at,no
1398890_at,no
1398891_at,no
1398892_at,no
1398893_at,no
1398894_at,no
1367472_at,no
1367473_at,no
1398895_at,no
1398896_at,no
1398897_at,no
1398898_at,no
1398899_at,no
1367474_at,no
1398900_at,no
1398901_at,no
1398902_at,no
1398903_at,no
1398904_at,no
1398905_at,no
1367475_at,no
1398906_at,no
1398907_at,no
1398908_at,no
1398909_at,no
1398910_at,no
1367476_at,no
1398911_at,no
1398912_at,no
1398913_at,no
1398914_at,yes
1367477_at,yes
1398915_at,yes
1398916_at,yes
1398917_at,yes
1398918_at,no
1399163_a_at,no
1367478_at,no
1398919_at,no
1367479_at,no
1398920_at,no
1398921_at,no
1398922_at,no
1398923_at,no
1367549_a_at,no
1398924_at,no
1367480_at,no
1398925_at,no
1367481_at,no
1367482_at,no
1367483_at,no
1398926_at,no
1398927_at,no
1398928_at,no
1367484_at,no
1367485_at,no
1398929_at,no
1398930_at,no
1398931_at,no
1398932_at,no
1398933_at,no
1398934_at,no
1398935_at,no
1398936_at,no
1398937_at,no
1398938_at,no
1398939_at,no
1367486_at,no
1398940_at,no
1398941_at,no
1398942_at,no
1398943_at,no
1398944_at,no
1398945_at,no
1398946_at,no
1398947_at,no
1398948_at,no
1398949_at,no
1398950_at,no
1398951_at,no
1398952_at,no
1398953_at,no
1367487_at,no
1398954_at,no
1398955_at,no
1398956_at,no
1398957_at,no
1398958_at,no
1398959_at,no
1398960_at,no
1398961_at,no
1367488_at,no
1367489_at,no
1398962_at,no
1398963_at,no
1367490_at,no
1398964_at,no
1367491_at,no
1367492_at,no
1367493_at,no
1398965_at,no
1398966_at,no
1398967_at,no
1398968_at,no
1398969_at,no
1398970_at,no
1398971_at,no
1398972_at,no
1398973_at,no
1398974_at,no
1398975_at,no
1398976_at,no
1398977_at,no
1367494_at,no
1398978_at,no
1398979_at,no
1398980_at,no
1398981_at,no
1398982_at,no
1398983_at,no
1398984_at,no
1398985_at,no
1367495_at,no
1398986_at,no
1398987_at,no
1398988_at,no
1398989_at,no
1398990_at,no
1398991_at,no
1398992_at,no
1398993_at,no
1398994_at,no
1367496_at,no
1398995_at,no
1398996_at,no
1398997_at,no
1398998_at,no
1367497_at,no
1398999_at,no
1367498_at,no
1399000_at,no
1399001_at,no
1399002_at,no
1399003_at,no
1367499_at,no
1367500_at,no
1399004_at,no
1399005_at,no
1367501_at,no
1367502_at,no
1367503_at,no
1367504_at,no
1399006_at,no
1399007_at,no
1399008_at,no
1399009_at,no
1399010_at,no
1399011_at,no
1399012_at,no
1367505_at,no
1399013_at,no
1399014_at,no
1399015_at,no
1367506_at,no
1399016_at,no
1399017_at,no
1399018_at,no
1399019_at,no
1399020_at,no
1399021_at,no
1399022_at,no
1399023_at,no
1399024_at,no
1367507_at,no
1399025_at,no
1367508_at,no
1399026_at,no
1367509_at,no
1399027_at,no
1367510_at,no
1367511_at,no
1399028_at,no
1367512_at,no
1399029_at,no
1367513_at,no
1399030_at,no
1399031_at,no
1399032_at,no
1399033_at,no
1399034_at,no
1367514_at,no
1399035_at,no
1399036_at,no
1367515_at,no
1399037_at,no
1399038_at,no
1399039_at,no
1399040_at,no
1367516_at,no
1367517_at,no
1399041_at,no
1399042_at,no
1399043_at,no
1399044_at,no
1399045_at,no
1367518_at,no
1367519_at,no
1367520_at,no
1399046_at,no
1399047_at,no
1399048_at,no
1399049_at,no
1399050_at,no
1399051_at,no
1399052_at,no
1367521_at,no
1399053_at,no
1399054_at,no
1399055_at,no
1399056_at,no
1399057_at,no
1399058_at,no
1399059_at,no
1399060_at,no
1399061_at,no
1399062_at,no
1399063_at,no
1367522_at,no
1399064_at,no
1399065_at,no
1399066_at,no
1399067_at,no
1367523_at,no
1399068_at,no
1399069_at,no
1367524_at,no
1399070_at,no
1367525_at,no
1399071_at,no
1399072_at,no
1399073_at,no
1399074_at,no
1399075_at,no
1367526_at,no
1399076_at,no
1399077_at,no
1367527_at,no
1399078_at,no
1399079_at,no
1399080_at,no
1399081_at,no
1399082_at,no
1367528_at,no
1399083_at,no
1367529_at,no
1399084_at,no
1399085_at,no
1399086_at,no
1399087_at,no
1399088_at,no
1367530_at,no
1399089_at,no
1399090_at,no
1399091_at,no
1399092_at,no
1399093_at,no
1399094_at,no
1399095_at,no
1367531_at,no
1367532_at,no
1399096_at,no
1399097_at,no
1367533_at,no
1399098_at,no
1399099_at,no
1399100_at,no
1367534_at,no
1399101_at,no
1399102_at,no
1367535_at,no
1399103_at,no
1367536_at,no
1399104_at,no
1399105_at,no
1367537_at,no
1367550_a_at,no
1399106_at,no
1399164_a_at,no
1399107_at,no
1367538_at,no
1399108_at,no
1367539_at,no
1399109_at,no
1399110_at,no
1399111_at,no
1367540_at,no
1399112_at,no
1399113_at,no
1399114_at,no
1399115_at,no
1399116_at,no
1399117_at,no
1367541_at,no
1399118_at,no
1367551_a_at,no
1399119_at,no
1399120_at,no
1399121_at,no
1367542_at,no
1367543_at,no
1399122_at,no
1367544_at,no
1399165_a_at,no
1399123_at,no
1399124_at,no
1399125_at,no
1399126_at,no
1399127_at,no
1399128_at,no
1399129_at,no
1367545_at,no
1399130_at,no
1399131_at,no
1399132_at,no
1399133_at,no
1399134_at,no
1399166_a_at,no
1399167_a_at,no
1399135_at,no
1399136_at,no
1399137_at,no
1399138_at,no
1399139_at,no
1399140_at,no
1367546_at,no
1399141_at,no
1399142_at,no
1367547_at,no
1399143_at,no
1399144_at,no
1399145_at,no
1367548_at,no
1399146_at,no
1399147_at,no
1399148_s_at,no
1399149_x_at,no
1399150_at,no
1399151_at,no
1399152_at,no
1399153_at,no
1399154_at,no
1399155_at,no
1399156_at,no
1399157_at,no
1367552_at,no
1367553_x_at,no
1367554_at,no
1367555_at,no
1367556_s_at,no
1367557_s_at,no
1367558_x_at,no
1367559_at,no
1367560_at,no
1367561_at,no
1367562_at,no
1367563_at,no
1367564_at,no
1367565_a_at,no
1367566_at,no
1367567_at,no
1367568_a_at,no
1367569_at,no
1367570_at,no
1367571_a_at,no
1367572_at,no
1367573_at,no
1367574_at,no
1398240_at,no
1367575_at,no
1367576_at,no
1367577_at,no
1367578_at,no
1367579_a_at,no
1367580_at,no
1367581_a_at,no
1367582_at,no
1367583_at,no
1367584_at,no
1367585_a_at,no
1367586_at,no
1367587_at,no
1367588_a_at,no
1367589_at,no
1367590_at,no
1367591_at,no
1367592_at,no
1367593_at,no
1367594_at,no
1367595_s_at,no
1367596_at,no
1367597_at,no
1367598_at,no
1367599_at,no
1367600_at,no
1367601_at,no
1367602_at,no
1367603_at,no
1367604_at,no
1367605_at,no
1367606_at,no
1386857_at,no
1386858_at,no
1367607_at,no
1367608_at,no
1367609_at,no
1367610_at,no
1386859_at,no
1367611_at,no
1367612_at,no
1367613_at,no
1367614_at,no
1386860_at,no
1367615_at,no
1367616_at,no
1386861_at,no
1367617_at,no
1367618_a_at,no
1367619_at,no
1386862_at,no
1367620_at,no
1367621_at,no
1386863_at,no
1367622_at,no
1367623_at,no
1386864_at,no
1367624_at,no
1386865_at,no
1367625_at,no
1386866_at,no
1367626_at,no
1367627_at,no
1386867_at,no
1367628_at,no
1367629_at,no
1386868_at,no
1367630_at,no
1367631_at,no
1386869_at,no
1398241_a_at,no
1367632_at,no
1386870_at,no
1367633_at,no
1367634_at,no
1386871_at,no
1367635_at,no
1367636_at,no
1386872_at,no
1367637_a_at,no
1367638_at,no
1386873_at,no
1367639_a_at,no
1367640_at,no
1386874_at,no
1367641_at,no
1367642_at,no
1386875_a_at,no
1367643_at,no
1367644_at,no
1386876_at,no
1367645_at,no
1367646_at,no
1386877_at,no
1367647_at,no
1367648_at,no
1386878_at,no
1367649_at,no
1367650_at,no
1386879_at,no
1386880_at,no
1367651_at,no
1386881_at,no
1367652_at,no
1386882_at,no
1367653_a_at,no
1367654_at,no
1386883_at,no
1367655_at,no
1367656_at,no
1386884_at,no
1367657_at,no
1367658_at,no
1386885_at,no
1367659_s_at,no
1367660_at,no
1367661_at,no
1367662_at,no
1386886_at,no
1367663_at,no
1386887_at,no
1367664_at,no
1367665_at,no
1398242_at,no
1367666_at,no
1386888_at,no
1367667_at,no
1367668_a_at,no
1386889_at,no
1367669_a_at,no
1367670_at,no
1386890_at,no
1367671_at,no
1367672_at,no
1386891_at,no
1367673_at,no
1367674_at,no
1386892_at,no
1367675_at,no
1367676_at,no
1386893_at,no
1367677_at,no
1386894_at,no
1367678_at,no
1367679_at,no
1386895_at,no
1367680_at,no
1386896_at,no
1367681_at,no
1367682_at,no
1386897_at,no
1367683_at,no
1367684_at,no
1386898_at,no
1367685_at,no
1386899_at,no
1367686_at,no
1386900_at,no
1367687_a_at,no
1367688_at,no
1386901_at,no
1367689_a_at,no
1367690_at,no
1386902_at,no
1367691_at,no
1367692_at,no
1386903_at,no
1367693_at,no
1367694_at,no
1386904_a_at,no
1367695_at,no
1367696_at,no
1386905_at,no
1367697_at,no
1367698_a_at,no
1386906_a_at,no
1367699_at,no
1367700_at,no
1386907_at,no
1398243_at,no
1367701_at,no
1367702_at,no
1367703_at,no
1367704_at,no
1386908_at,no
1367705_at,no
1367706_at,no
1386909_a_at,no
1367707_at,no
1367708_a_at,no
1367709_at,no
1367710_at,no
1386910_a_at,no
1367711_at,no
1386911_at,no
1367712_at,no
1367713_at,no
1386912_at,no
1367714_at,no
1367715_at,no
1386913_at,no
1367716_at,no
1367717_at,no
1386914_at,no
1367718_at,no
1367719_at,no
1386915_at,no
1367720_at,no
1367721_at,no
1386916_at,no
1367722_at,no
1367723_a_at,no
1386917_at,no
1367724_a_at,no
1367725_at,no
1386918_a_at,no
1367726_at,no
1367727_at,no
1367728_at,no
1367729_at,no
1367730_at,no
1386919_at,no
1386920_x_at,no
1367731_at,no
1367732_at,no
1386921_at,no
1367733_at,no
1386922_at,no
1367734_at,no
1367735_at,no
1367736_at,no
1367737_at,no
1367738_at,no
1367739_at,no
1367740_at,no
1367741_at,no
1367742_at,no
1367743_at,no
1367744_at,no
1367745_at,no
1367746_a_at,no
1367747_at,no
1367748_at,no
1367749_at,no
1367750_at,no
1367751_at,no
1367752_at,no
1367753_at,no
1367754_s_at,no
1367755_at,no
1367756_at,no
1367757_at,no
1398244_at,no
1367758_at,no
1367759_at,no
1367760_at,no
1367761_at,no
1367762_at,no
1367763_at,no
1367764_at,no
1367765_at,no
1367766_at,no
1367767_at,no
1367768_at,no
1367769_at,no
1367770_at,no
1367771_at,no
1367772_at,no
1367773_at,no
1367774_at,no
1367775_at,no
1367776_at,no
1367777_at,no
1367778_at,no
1367779_at,no
1386851_a_at,no
1367780_at,no
1367781_at,no
1367782_at,no
1367783_at,no
1367784_a_at,no
1367785_at,no
1367786_at,no
1367787_at,no
1367788_at,no
1367789_at,no
1367790_at,no
1367791_at,no
1367792_at,no
1386923_at,no
1386924_at,no
1367793_at,no
1367794_at,no
1386925_at,no
1367795_at,no
1367796_at,no
1386926_at,no
1367797_at,no
1386927_at,no
1367798_at,no
1386928_at,no
1367799_at,no
1367800_at,no
1386929_at,no
1367801_at,no
1367802_at,no
1386930_at,no
1367803_at,no
1367804_at,no
1386931_at,no
1367805_at,no
1367806_at,no
1386932_at,no
1367807_at,no
1386933_at,no
1367808_at,no
1367809_at,no
1386934_at,no
1367810_at,no
1367811_at,no
1386935_at,no
1367812_at,no
1367813_at,no
1386936_at,no
1398245_at,no
1367814_at,no
1386937_at,no
1386938_at,no
1367815_at,no
1367816_at,no
1367817_at,no
1367818_at,no
1367819_at,no
1367820_at,no
1386939_a_at,no
1367821_a_at,no
1367822_at,no
1386940_at,no
1367823_at,no
1367824_at,no
1367825_at,no
1367826_at,no
1367827_at,no
1386941_at,no
1386942_at,no
1367828_at,no
1367829_at,no
1386943_at,no
1367830_a_at,no
1367831_at,no
1386944_a_at,no
1367832_at,no
1367833_at,no
1386945_a_at,no
1367834_at,no
1367835_at,no
1386946_at,no
1367836_at,no
1367837_at,no
1386947_at,no
1367838_at,no
1367839_at,no
1386948_at,no
1367840_at,no
1367841_a_at,no
1386949_a_at,no
1367842_at,no
1367843_at,no
1386950_at,no
1367844_at,no
1367845_at,no
1367846_at,no
1367847_at,no
1386951_at,no
1386952_a_at,no
1367848_at,no
1367849_at,no
1386953_at,no
1367850_at,no
1398246_s_at,no
1386954_at,no
1367851_at,no
1367852_s_at,no
1386955_at,no
1367853_at,no
1367854_at,no
1386956_at,no
1367855_at,no
1367856_at,no
1386957_at,no
1367857_at,no
1386958_at,no
1367858_at,no
1386959_a_at,no
1367859_at,no
1367860_a_at,no
1386960_at,no
1367861_at,no
1367862_at,no
1367863_at,no
1367864_at,no
1386961_at,no
1386962_at,no
1367865_at,no
1367866_at,no
1386963_at,no
1367867_at,no
1367868_at,no
1386964_at,no
1367869_at,no
1386965_at,no
1367870_at,no
1367871_at,no
1386966_a_at,no
1367872_at,no
1367873_at,no
1386967_at,no
1367874_at,no
1367875_at,no
1386968_at,no
1367876_at,no
1367877_at,no
1367878_at,no
1367879_at,no
1386969_at,no
1367880_at,no
1386970_at,no
1367881_at,no
1367882_at,no
1386971_at,no
1367883_at,no
1367884_at,no
1386972_at,no
1367885_at,no
1367886_at,no
1386973_a_at,no
1367887_at,no
1367888_at,no
1386974_at,no
1398247_at,no
1367889_at,no
1367890_at,no
1367891_a_at,no
1367892_at,no
1386975_at,no
1386976_at,no
1367893_a_at,no
1367894_at,no
1367895_at,no
1367896_at,no
1386977_at,no
1367897_at,no
1386978_at,no
1367898_at,no
1367899_at,no
1386979_at,no
1367900_at,no
1367901_at,no
1386980_at,no
1367902_at,no
1367903_at,no
1386981_at,no
1367904_at,no
1367905_at,no
1386982_at,no
1367906_at,no
1367907_a_at,no
1386983_at,no
1367908_at,no
1367909_at,no
1386984_at,no
1367910_at,no
1367911_at,no
1386985_at,no
1367912_at,no
1367913_at,no
1386986_at,no
1367914_at,no
1367915_at,no
1386987_at,no
1367916_at,no
1367917_at,no
1386988_at,no
1367918_at,no
1367919_at,no
1386989_at,no
1367920_at,no
1367921_at,no
1386990_at,no
1367922_at,no
1367923_at,no
1386991_a_at,no
1367924_at,no
1367925_at,no
1386992_at,no
1367926_at,no
1367927_at,no
1386993_at,no
1398248_s_at,no
1367928_at,no
1367929_at,no
1367930_at,no
1367931_a_at,no
1386994_at,no
1386995_at,no
1367932_at,no
1367933_at,no
1386996_at,no
1367934_at,no
1386997_at,no
1367935_at,no
1367936_at,no
1386998_at,no
1367937_at,no
1386999_at,no
1367938_at,no
1367939_at,no
1387000_at,no
1367940_at,no
1367941_at,no
1387001_at,no
1367942_at,no
1367943_at,no
1387002_at,no
1367944_at,no
1367945_at,no
1387003_at,no
1367946_at,no
1367947_at,no
1387004_at,no
1367948_a_at,no
1367949_at,no
1387005_at,no
1367950_at,no
1367951_at,no
1387006_at,no
1367952_at,no
1367953_at,no
1387007_at,no
1367954_at,no
1367955_at,no
1387008_at,no
1367956_at,no
1367957_at,no
1387009_at,no
1367958_at,no
1367959_a_at,no
1387010_s_at,no
1367960_at,no
1367961_at,no
1387011_at,no
1367962_at,no
1367963_at,no
1367964_at,no
1367965_at,no
1387012_at,no
1387013_at,no
1367966_at,no
1367967_at,no
1387014_at,no
1367968_at,no
1398249_at,no
1367969_at,no
1387015_at,no
1367970_at,no
1367971_at,no
1387016_a_at,no
1367972_at,no
1367973_at,no
1387017_at,no
1367974_at,no
1367975_at,no
1387018_at,no
1367976_at,no
1367977_at,no
1387019_at,no
1367978_at,no
1367979_s_at,no
1387020_at,no
1367980_at,no
1367981_at,no
1387021_at,no
1367982_at,no
1367983_at,no
1387022_at,no
1367984_at,no
1367985_at,no
1387023_at,no
1367986_at,no
1367987_at,no
1367988_at,no
1387024_at,no
1367989_at,no
1367990_at,no
1387025_at,no
1367991_at,no
1367992_at,no
1387026_at,no
1367993_at,no
1367994_at,no
1367995_at,no
1367996_a_at,no
1367997_at,no
1387027_a_at,no
1387028_a_at,no
1367998_at,no
1367999_at,no
1387029_at,no
1368000_at,no
1368001_at,no
1368002_at,no
1368003_at,no
1368004_at,no
1368005_at,no
1368006_at,no
1368007_at,no
1368008_at,no
1368009_at,no
1368010_at,no
1368011_at,no
1368012_at,no
1368013_at,no
1368014_at,no
1368015_at,no
1368016_at,no
1368017_at,no
1368018_at,no
1368019_at,no
1368020_at,no
1368021_at,no
1368022_at,no
1368023_at,no
1368024_at,no
1368025_at,no
1398250_at,no
1368026_at,no
1368027_at,no
1368028_at,no
1368029_at,no
1368030_at,no
1368031_at,no
1368032_at,no
1368033_at,no
1368034_at,no
1368035_a_at,no
1368036_at,no
1368037_at,no
1368038_at,no
1368039_at,no
1368040_at,no
1368041_at,no
1368042_a_at,no
1368043_at,no
1368044_at,no
1368045_at,no
1368046_at,no
1368047_at,no
1368048_at,no
1368049_at,no
1368050_at,no
1368051_at,no
1368052_at,no
1368053_at,no
1368054_at,no
1368055_a_at,no
1368056_at,no
1368057_at,no
1368058_at,no
1387030_at,no
1387031_at,no
1368059_at,no
1368060_at,no
1387032_at,no
1368061_at,no
1368062_at,no
1387033_at,no
1368063_a_at,no
1368064_a_at,no
1387034_at,no
1368065_at,no
1368066_at,no
1387035_a_at,no
1368067_at,no
1368068_a_at,no
1387036_at,no
1368069_at,no
1368070_at,no
1387037_at,no
1368071_at,no
1368072_at,no
1387038_at,no
1368073_at,no
1368074_at,no
1387039_at,no
1368075_at,no
1387040_at,no
1368076_at,no
1368077_at,no
1387041_at,no
1368078_at,no
1368079_at,no
1368080_at,no
1368081_at,no
1368082_at,no
1387042_at,no
1387043_at,no
1368083_at,no
1368084_at,no
1387044_at,no
1368085_at,no
1368086_a_at,no
1387045_at,no
1368087_a_at,no
1368088_at,no
1387046_at,no
1368089_at,no
1398251_a_at,no
1387047_at,no
1368090_at,no
1368091_at,no
1387048_at,no
1368092_at,no
1368093_at,no
1387049_at,no
1368094_at,no
1368095_at,no
1387050_s_at,no
1368096_at,no
1368097_a_at,no
1387051_at,no
1368098_a_at,no
1368099_at,no
1387052_at,no
1368100_at,no
1368101_at,no
1387053_at,no
1368102_at,no
1368103_at,no
1387054_at,no
1368104_at,no
1368105_at,no
1387055_at,no
1368106_at,no
1368107_at,no
1387056_at,no
1368108_at,no
1368109_at,no
1387057_at,no
1368110_a_at,no
1368111_at,no
1387058_at,no
1368112_at,no
1368113_at,no
1387059_at,no
1368114_at,no
1368115_at,no
1387060_at,no
1368116_a_at,no
1368117_at,no
1368118_at,no
1368119_at,no
1368120_at,no
1387061_at,no
1387062_a_at,no
1368121_at,no
1368122_at,no
1387063_at,no
1368123_at,no
1368124_at,no
1387064_at,no
1368125_at,no
1368126_at,no
1387065_at,no
1368127_at,no
1368128_at,no
1387066_a_at,no
1368129_at,no
1368130_at,no
1387067_at,no
1368131_at,no
1368132_at,no
1398252_at,no
1368133_at,no
1368134_a_at,no
1387068_at,no
1387069_a_at,no
1368135_at,no
1368136_at,no
1387070_at,no
1368137_at,no
1368138_at,no
1387071_a_at,no
1368139_s_at,no
1387072_at,no
1368140_at,no
1368141_at,no
1387073_at,no
1368142_at,no
1368143_at,no
1387074_at,no
1368144_at,no
1368145_at,no
1368146_at,no
1368147_at,no
1368148_at,no
1387075_at,no
1387076_at,no
1368149_at,no
1368150_at,no
1387077_at,no
1368151_at,no
1368152_at,no
1387078_at,no
1368153_a_at,no
1368154_at,no
1387079_at,no
1368155_at,no
1368156_at,no
1387080_at,no
1368157_at,no
1368158_at,no
1387081_at,no
1368159_at,no
1368160_at,no
1387082_at,no
1368161_a_at,no
1387083_at,no
1368162_at,no
1368163_at,no
1387084_at,no
1368164_at,no
1368165_at,no
1387085_at,no
1368166_at,no
1368167_at,no
1387086_at,no
1368168_at,no
1368169_at,no
1387087_at,no
1368170_at,no
1398253_at,no
1387088_at,no
1368171_at,no
1368172_a_at,no
1387089_at,no
1368173_at,no
1368174_at,no
1387090_a_at,no
1368175_at,no
1368176_at,no
1387091_at,no
1368177_at,no
1368178_at,no
1387092_at,no
1368179_at,no
1368180_s_at,no
1368181_at,no
1368182_at,no
1368183_at,no
1387093_at,no
1387094_at,no
1368184_at,no
1368185_at,no
1387095_at,no
1368186_a_at,no
1387096_at,no
1368187_at,no
1368188_at,no
1387097_at,no
1368189_at,no
1368190_at,no
1387098_at,no
1368191_a_at,no
1368192_at,no
1387099_at,no
1368193_at,no
1368194_at,no
1387100_at,no
1368195_at,no
1368196_at,no
1387101_at,no
1368197_at,no
1368198_at,no
1387102_at,no
1368199_at,no
1368200_at,no
1387103_s_at,no
1368201_at,no
1368202_a_at,no
1387104_at,no
1368203_at,no
1368204_at,no
1387105_at,no
1368205_at,no
1368206_at,no
1387106_at,no
1368207_at,no
1368208_at,no
1387107_at,no
1398254_at,no
1368209_at,no
1368210_at,no
1368211_at,no
1368212_at,no
1387108_at,no
1387109_at,no
1368213_at,no
1368214_at,no
1387110_at,no
1368215_at,no
1368216_at,no
1387111_at,no
1368217_at,no
1368218_at,no
1387112_at,no
1368219_at,no
1368220_at,no
1387113_at,no
1368221_at,no
1368222_at,no
1387114_at,no
1368223_at,no
1368224_at,no
1387115_at,no
1368225_at,no
1368226_at,no
1387116_at,no
1368227_at,no
1368228_at,no
1387117_at,no
1368229_at,no
1368230_a_at,no
1387118_at,no
1368231_at,no
1368232_at,no
1387119_at,no
1368233_at,no
1368234_at,no
1387120_at,no
1368235_at,no
1368236_at,no
1387121_a_at,no
1368237_at,no
1368238_at,no
1387122_at,no
1368239_at,no
1368240_a_at,no
1368241_a_at,no
1368242_at,no
1368243_at,no
1387123_at,no
1387124_at,no
1368244_at,no
1368245_at,no
1387125_at,no
1368246_at,no
1368247_at,no
1387126_at,no
1368248_at,no
1398255_at,no
1387127_at,no
1368249_at,no
1368250_at,no
1387128_at,no
1368251_at,no
1368252_at,no
1387129_at,no
1368253_at,no
1368254_a_at,no
1387130_at,no
1368255_at,no
1368256_at,no
1387131_at,no
1368257_at,no
1368258_at,no
1387132_at,no
1368259_at,no
1368260_at,no
1387133_at,no
1368261_at,no
1368262_at,no
1387134_at,no
1368263_a_at,no
1368264_at,no
1387135_at,no
1368265_at,no
1368266_at,no
1387136_at,no
1368267_at,no
1368268_at,no
1387137_at,no
1368269_at,no
1368270_at,no
1387138_at,no
1368271_a_at,no
1368272_at,no
1368273_at,no
1368274_at,no
1387139_at,no
1368275_at,no
1368276_at,no
1368277_at,no
1368278_at,no
1387140_at,no
1368279_at,no
1368280_at,no
1368281_at,no
1368282_at,no
1398256_at,no
1368283_at,no
1368284_at,no
1368285_at,no
1368286_at,no
1368287_at,no
1368288_at,no
1368289_at,no
1368290_at,no
1368291_at,no
1368292_at,no
1368293_at,no
1368294_at,no
1368295_at,no
1368296_at,no
1368297_at,no
1368298_at,no
1368299_at,no
1368300_at,no
1368301_at,no
1368302_at,no
1368303_at,no
1368304_at,no
1368305_at,no
1368306_at,no
1368307_at,no
1368308_at,no
1368309_at,no
1368310_at,no
